action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2594306,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '13.26', 'le': '0.27', 'lle': '-0.60', 'sei': '7.20'}",CHEMBL518038,,CHEMBL518038,5.41,0,http://www.openphacts.org/units/Nanomolar,799895,=,1,1,=,,IC50,nM,,3900.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,3.9
,,2594307,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)c1C,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '11.76', 'le': '0.23', 'lle': '-1.27', 'sei': '7.05'}",CHEMBL455936,,CHEMBL455936,5.29,0,http://www.openphacts.org/units/Nanomolar,799172,=,1,1,=,,IC50,nM,,5100.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,5.1
,,2594308,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc3ncccc3c2)n1)C(=O)OCC,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '11.44', 'le': '0.23', 'lle': '-1.17', 'sei': '6.82'}",CHEMBL459722,,CHEMBL459722,5.25,0,http://www.openphacts.org/units/Nanomolar,799251,=,1,1,=,,IC50,nM,,5600.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,5.6
,,2594309,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(OCC(F)(F)F)cc(OCC(F)(F)F)c2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '9.70', 'le': '0.21', 'lle': '-1.68', 'sei': '5.97'}",CHEMBL457000,,CHEMBL457000,5.58,0,http://www.openphacts.org/units/Nanomolar,799254,=,1,1,=,,IC50,nM,,2600.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,2.6
,,2594310,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(-c3ccccc3)cc2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '12.71', 'le': '0.26', 'lle': '-1.26', 'sei': '7.72'}",CHEMBL460616,,CHEMBL460616,5.80,0,http://www.openphacts.org/units/Nanomolar,799988,=,1,1,=,,IC50,nM,,1600.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,1.6
,,2594311,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(-c3ccccc3)cc2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '12.52', 'le': '0.25', 'lle': '-1.03', 'sei': '7.84'}",CHEMBL462523,,CHEMBL462523,5.89,0,http://www.openphacts.org/units/Nanomolar,799989,=,1,1,=,,IC50,nM,,1300.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,1.3
,,2594312,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '11.99', 'le': '0.24', 'lle': '-1.16', 'sei': '5.83'}",CHEMBL456792,,CHEMBL456792,5.77,0,http://www.openphacts.org/units/Nanomolar,799176,=,1,1,=,,IC50,nM,,1700.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,1.7
,,2594313,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(C)c(-c3ccccc3)cc2OC)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '11.35', 'le': '0.23', 'lle': '-1.69', 'sei': '6.73'}",CHEMBL463776,,CHEMBL463776,5.68,0,http://www.openphacts.org/units/Nanomolar,799256,=,1,1,=,,IC50,nM,,2100.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,2.1
,,2594314,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '12.03', 'le': '0.24', 'lle': '-2.33', 'sei': '13.44'}",CHEMBL29097,,CHEMBL29097,5.68,0,http://www.openphacts.org/units/Nanomolar,799258,=,1,1,=,,IC50,nM,,2100.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,2.1
,,2594352,[],CHEMBL1014420,Inhibition of PGES1 in human A549 cell microsome assessed as PGE2 formation by cell-free assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCC[C@H](Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,,,CHEMBL1151733,J Med Chem,2008,"{'bei': '11.80', 'le': '0.23', 'lle': '-1.25', 'sei': '5.74'}",CHEMBL456800,,CHEMBL456800,5.68,0,http://www.openphacts.org/units/Nanomolar,799177,=,1,1,=,,IC50,nM,,2100.0,CHEMBL5658,Homo sapiens,Prostaglandin E synthase,9606,,,IC50,uM,UO_0000065,,2.1
