molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL518038,CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)O,intermediate,3900.0
CHEMBL455936,Cc1cccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)c1C,intermediate,5100.0
CHEMBL459722,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc3ncccc3c2)n1)C(=O)OCC,intermediate,5600.0
CHEMBL457000,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(OCC(F)(F)F)cc(OCC(F)(F)F)c2)n1)C(=O)O,intermediate,2600.0
CHEMBL460616,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(-c3ccccc3)cc2)n1)C(=O)O,intermediate,1600.0
CHEMBL462523,CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(-c3ccccc3)cc2)n1)C(=O)O,intermediate,1300.0
CHEMBL456792,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,intermediate,1700.0
CHEMBL463776,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(C)c(-c3ccccc3)cc2OC)n1)C(=O)O,intermediate,2100.0
CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,2100.0
CHEMBL456800,CCCCCC[C@H](Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,intermediate,2100.0
CHEMBL457204,CCCCCC[C@@H](Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,intermediate,1600.0
CHEMBL518038,CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)O,inactive,12000.0
CHEMBL462523,CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(-c3ccccc3)cc2)n1)C(=O)O,intermediate,6000.0
CHEMBL457000,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(OCC(F)(F)F)cc(OCC(F)(F)F)c2)n1)C(=O)O,inactive,30000.0
CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,2400.0
CHEMBL182032,Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(-c3ccc(-c4ccccc4)c(F)c3)cc12,active,12.0
