,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL518038,CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)O,intermediate,407.96700000000016,6.006140000000005,2.0,5.0,5.4089353929735005
1,CHEMBL455936,Cc1cccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)c1C,intermediate,449.9630000000002,6.561640000000004,2.0,5.0,5.292429823902063
2,CHEMBL459722,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc3ncccc3c2)n1)C(=O)OCC,intermediate,459.0150000000002,6.416000000000006,1.0,7.0,5.251811972993799
3,CHEMBL457000,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(OCC(F)(F)F)cc(OCC(F)(F)F)c2)n1)C(=O)O,intermediate,575.9590000000002,7.271500000000006,2.0,7.0,5.585026652029182
4,CHEMBL460616,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(-c3ccccc3)cc2)n1)C(=O)O,intermediate,456.01100000000014,7.056300000000006,2.0,5.0,5.795880017344075
5,CHEMBL462523,CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(-c3ccccc3)cc2)n1)C(=O)O,intermediate,470.0380000000002,6.9248000000000065,2.0,5.0,5.886056647693163
6,CHEMBL456792,CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,intermediate,481.0210000000002,6.927980000000006,2.0,6.0,5.769551078621726
7,CHEMBL463776,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(C)c(-c3ccccc3)cc2OC)n1)C(=O)O,intermediate,500.06400000000025,7.373320000000007,2.0,6.0,5.6777807052660805
8,CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,472.09400000000016,8.010300000000008,1.0,3.0,5.6777807052660805
9,CHEMBL456800,CCCCCC[C@H](Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,intermediate,481.0210000000002,6.927980000000006,2.0,6.0,5.6777807052660805
10,CHEMBL457204,CCCCCC[C@@H](Sc1nc(Cl)cc(Nc2ccc(-c3ccc(C#N)cc3)cc2)n1)C(=O)O,intermediate,481.0210000000002,6.927980000000006,2.0,6.0,5.795880017344075
11,CHEMBL518038,CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)O,inactive,407.96700000000016,6.006140000000005,2.0,5.0,4.920818753952375
12,CHEMBL462523,CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(-c3ccccc3)cc2)n1)C(=O)O,intermediate,470.0380000000002,6.9248000000000065,2.0,5.0,5.221848749616356
13,CHEMBL457000,CCCCCCC(Sc1nc(Cl)cc(Nc2cc(OCC(F)(F)F)cc(OCC(F)(F)F)c2)n1)C(=O)O,inactive,575.9590000000002,7.271500000000006,2.0,7.0,4.522878745280337
14,CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,472.09400000000016,8.010300000000008,1.0,3.0,5.619788758288394
15,CHEMBL182032,Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(-c3ccc(-c4ccccc4)c(F)c3)cc12,active,526.0510000000002,8.777820000000002,1.0,2.0,7.920818753952375
16,CHEMBL550489,O=C(O)CCc1c(-c2ccc(Cl)cc2)c(-c2ccccc2)c2n1CCC2,intermediate,365.8600000000002,5.438900000000005,1.0,2.0,5.7447274948966935
